	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Artist Popilarity	Song Popularity	Duration_ms	Time Signature
4165	2008	Maelo Ruiz	Puro Corazón	0.64	0.791	7	-9.037	0	0.0406	0.452	0.00012	0.11	0.811	172.733	62	37	277893	4
4166	2010	Trailer Choir	Tailgate	0.506	0.892	0	-2.675	1	0.0714	0.0637	0.0	0.0421	0.713	173.971	30	32	187747	4
4167	2008	Various Artists	Motown: The Complete No. 1's	0.663	0.458	0	-8.0	1	0.0662	0.0857	0.0	0.179	0.579	119.81	8	28	142667	4
4168	2014	Johnnyswim	Diamonds	0.532	0.733	10	-6.252	1	0.0861	0.167	1.58e-06	0.141	0.328	80.102	62	41	307760	4
4169	2015	The Story So Far	The Story So Far	0.495	0.949	1	-3.06	1	0.0652	0.00317	4.79e-05	0.115	0.494	171.995	67	43	151667	3
4170	2013	Chris Young	A.M.	0.589	0.905	7	-3.655	1	0.0365	0.0859	0.0	0.111	0.706	90.082	72	39	174000	4
4171	2006	Katie Gray	From Far Away	0.333	0.352	6	-11.562	0	0.0335	0.885	0.174	0.111	0.193	66.785	25	32	307293	4
4172	2012	Grupo Pegasso	17 Aniversario	0.633	0.572	9	-8.425	1	0.0367	0.256	0.0	0.0595	0.783	85.291	54	51	199863	4
4173	2007	Nightwish	Dark Passion Play	0.475	0.955	7	-4.285	0	0.0494	0.000128	0.657	0.0376	0.528	163.995	68	28	257881	4
4174	2000	TKKG	123/Mordkomplott im Luxus-Klo	0.63	0.628	6	-12.8	0	0.805	0.322	0.0	0.359	0.16	56.43	76	25	72347	4
4175	2013	Boards of Canada	Tomorrow's Harvest	0.575	0.576	5	-9.782	0	0.0295	0.0245	0.917	0.116	0.0363	135.998	59	46	287404	4
4176	2014	Ariel Pink	pom pom	0.478	0.942	1	-3.232	1	0.17	0.00102	0.146	0.161	0.489	67.487	60	41	364373	4
4177	2001	Grupo Bryndis	Por El Pasado	0.605	0.72	11	-7.953	1	0.0386	0.0853	2.23e-05	0.176	0.538	168.666	66	31	245333	4
4178	2017	Kevin Morby	City Music	0.334	0.488	7	-10.224	1	0.0342	0.499	0.274	0.122	0.084	111.711	58	55	291080	5
4179	2008	Star Fucking Hipsters	Until We're Dead	0.238	0.939	9	-6.372	1	0.112	2.74e-05	0.143	0.0842	0.112	115.613	39	32	237093	4
4180	2017	Various Artists	Rich Forever 3	0.811	0.621	1	-6.66	1	0.336	0.00756	0.0	0.088	0.643	158.005	8	53	194430	4
4181	2006	Ben Harper	Both Sides Of The Gun	0.663	0.785	10	-8.565	1	0.0399	0.235	0.000426	0.11	0.586	117.086	63	39	238467	4
4182	2010	Seedless	Twisted Roots	0.634	0.824	9	-3.939	0	0.0585	0.188	1.29e-05	0.0908	0.666	77.479	33	31	244027	4
4183	2013	Eric Church	Caught In The Act: Live	0.458	0.867	2	-6.612	1	0.0462	0.0197	0.421	0.877	0.527	143.798	75	33	271800	4
4184	2001	The Warren Brothers	Barely Famous Hits	0.587	0.493	9	-4.548	1	0.0257	0.487	0.0	0.123	0.271	129.006	21	28	216547	4
4185	2014	SALES	SALES - EP	0.924	0.386	9	-8.183	1	0.0548	0.755	0.00253	0.118	0.424	108.957	61	50	179125	4
4186	2004	Low Millions	Ex Girlfriends	0.625	0.772	5	-5.919	1	0.0314	0.115	0.0	0.0899	0.539	113.042	18	28	190600	4
4187	2014	Future Islands	Singles	0.601	0.712	4	-5.581	1	0.0246	0.254	0.00759	0.0914	0.395	135.025	63	41	254640	4
4188	2010	Tom Segura	Thrilled	0.568	0.742	10	-10.354	0	0.942	0.924	2.42e-05	0.721	0.537	80.564	54	33	158302	3
