	Track	Track_Popularity	Artist_Popularity
816	"""Signs"""	44	32
817	"""Amos Moses"""	48	56
818	"""Temptation Eyes"""	39	56
819	"""Superstar"""	3	4
820	"""My Sweet Lord"""	76	70
821	"""Sweet and Innocent"""	17	61
822	"""Put Your Hand in the Hand"""	32	83
823	"""For All We Know"""	0	4
824	"""Help Me Make It Through the Night"""	28	33
825	"""Rainy Days and Mondays"""	2	4
826	"""If You Could Read My Mind"""	58	60
827	"""Gypsys, Tramps & Thieves"""	52	74
828	"""Never Can Say Goodbye"""	47	73
829	"""Rose Garden"""	55	47
830	"""It Don't Come Easy"""	13	51
831	"""Mr. Bojangles"""	43	55
832	"""I Love You for All Seasons"""	42	30
833	"""Whatcha See is Whatcha Get"""	57	53
834	"""If You Really Love Me"""	42	78
835	"""Spanish Harlem"""	45	75
836	"""Yo-Yo"""	20	38
837	"""Bridge over Troubled Water"""	48	75
838	"""Draggin' the Line"""	45	52
839	"""Proud Mary"""	56	56
840	"""Stay Awhile"""	28	26
841	"""Sweet City Woman"""	0	1
842	"""Me and You and a Dog Named Boo"""	59	57
843	"""If"""	56	63
844	"""Mercy Mercy Me (The Ecology)"""	56	75
845	"""One Toke Over the Line"""	41	33
846	"""Bring the Boys Home"""	13	39
847	"""I Just Want to Celebrate"""	44	45
848	"""Liar"""	30	60
849	"""Chirpy Chirpy Cheep Cheep"""	9	22
850	"""(Where Do I Begin?) Love Story"""	55	70
851	"""Wild World"""	74	71
852	"""Funky Nassau"""	52	40
853	"""If Not for You"""	27	68
854	"""Groove Me"""	56	44
855	"""Watching Scotty Grow"""	30	47
856	"""Woodstock"""	36	28
857	"""Amazing Grace"""	36	50
858	"""I Hear You Knocking"""	43	46
859	"""Lonely Days"""	48	76
860	"""Here Comes That Rainy Day Feeling Again"""	43	42
861	"""Won't Get Fooled Again"""	16	72
862	"""Trapped By a Thing Called Love"""	46	37
863	"""Timothy"""	26	27
864	"""I Woke Up In Love This Morning"""	29	44
865	"""Theme from Shaft"""	51	56
866	"""If I Were Your Woman"""	47	61
867	"""I Am...I Said"""	56	69
868	"""The Wedding Song (There Is Love)"""	0	26
869	"""Love Her Madly"""	65	76
870	"""Here Comes the Sun"""	48	47
871	"""Sweet Mary"""	21	11
872	"""Right on the Tip of My Tongue"""	33	26
873	"""One Less Bell to Answer"""	36	50
874	"""Riders on the Storm"""	72	76
875	The First Time Ever I Saw Your Face	62	64
