	Year	Artist	Track	Danceability	Energy	Key	Loudness	Mode	Speechiness	Acousticness	Instrumentalness	Liveness	Valence	Tempo	Duration_ms	Time_Signature
139	1962	Ace Cannon	Tuff	0.591	0.219	10	-12.573	1	0.0661	0.366	0.864	0.0845	0.828	233.429	138173	3
140	1962	Clyde McPhatter	Lover Please	0.558	0.771	5	-5.346	0	0.303	0.727	0.0	0.12	0.947	82.287	116240	4
141	1962	Barbara George	I Know (You Don't Love Me No More)	0.847	0.415	5	-10.678	1	0.0526	0.206	0.0205	0.0686	0.807	123.214	144933	4
142	1962	Ricky Nelson	Young World	0.532	0.607	0	-6.878	1	0.0304	0.37	6.56e-05	0.136	0.718	117.214	146787	4
143	1962	The Shirelles	Baby It's You	0.646	0.336	7	-13.976	0	0.0287	0.674	7.91e-05	0.229	0.728	113.526	161440	4
144	1962	Pat Boone	Speedy Gonzales	0.616	0.617	9	-11.479	1	0.0405	0.117	0.000128	0.15	0.907	146.902	156773	4
145	1962	Burl Ives	A Little Bitty Tear	0.617	0.207	0	-15.3	1	0.0485	0.892	0.387	0.117	0.843	71.734	125400	4
146	1962	The Everly Brothers	Crying in the Rain	0.61	0.378	2	-9.381	1	0.0279	0.622	0.0	0.144	0.48	97.166	120307	4
147	1962	Emilio Pericoli	Al di là	0.32	0.301	11	-12.301	1	0.0293	0.682	0.0	0.123	0.217	84.918	197137	4
148	1962	Ernie Maresca	Shout! Shout! (Knock Yourself Out)	0.654	0.721	8	-8.476	1	0.139	0.273	0.0	0.344	0.967	94.851	130093	4
149	1962	Don and Juan	What's Your Name	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
150	1962	The Corsairs	Smoky Places	0.478	0.69	3	-10.387	1	0.0718	0.459	5.37e-05	0.164	0.748	125.351	187228	4
151	1962	Sam Cooke	Having a Party	0.549	0.553	7	-7.482	0	0.048	0.848	0.0	0.15	0.72	123.371	154267	4
152	1962	Booker T. & the M.G.'s	Green Onions	0.816	0.514	10	-8.741	1	0.0339	0.767	0.949	0.0899	0.912	136.837	176333	4
153	1962	Ray Charles	You Don't Know Me	0.327	0.427	3	-8.952	1	0.0387	0.744	0.0	0.141	0.283	186.717	234013	3
154	1962	The Four Seasons	Sherry	0.703	0.478	7	-8.062	1	0.0441	0.626	0.0	0.113	0.734	117.562	152160	4
155	1962	Joanie Sommers	Johnny Get Angry	0.628	0.27	1	-14.47	1	0.0359	0.78	0.0	0.325	0.548	126.676	156560	4
156	1962	Elvis Presley	Can't Help Falling in Love	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
157	1962	Joey Dee and the Starliters	Shout	0.454	0.666	5	-16.023	1	0.103	0.332	3.48e-05	0.443	0.721	168.71	147387	4
158	1962	"Dave ""Baby"" Cortez"	Rinky Dink	0.76	0.569	0	-9.586	1	0.0457	0.0602	0.882	0.0292	0.68	112.438	169000	4
159	1962	Henry Mancini	Moon River	0.39	0.0235	5	-19.695	1	0.0345	0.937	0.00128	0.099	0.155	133.403	125585	5
160	1962	Ray Stevens	Ahab the Arab	0.639	0.59	7	-9.55	1	0.256	0.476	2.44e-05	0.461	0.798	174.416	262333	4
161	1962	Bobby Darin	Things	0.562	0.558	4	-3.572	1	0.0453	0.858	0.0	0.107	0.839	174.704	151413	4
162	1962	Gene Pitney	(The Man Who Shot) Liberty Valance	0.597	0.561	1	-9.757	0	0.0532	0.793	0.0	0.168	0.842	88.381	178760	4
163	1962	The Duprees	You Belong to Me	0.328	0.347	10	-7.664	1	0.0289	0.942	1.81e-06	0.126	0.269	110.818	162440	3
164	1962	Roy Orbison	Dream Baby (How Long Must I Dream)	0.436	0.525	5	-9.248	1	0.0321	0.541	2.82e-05	0.11	0.877	153.618	153800	4
165	1962	Joe Henderson	Snap Your Fingers	0.685	0.247	5	-14.434	1	0.126	0.652	2.1e-05	0.101	0.614	107.377	177707	4
166	1962	Dion	Lovers Who Wander	0.313	0.594	0	-11.743	1	0.0607	0.727	1.52e-06	0.207	0.698	146.624	141547	4
167	1962	Chris Montez	Let's Dance	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
168	1962	Johnny Crawford	Cindy's Birthday	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
169	1962	Mary Wells	You Beat Me to the Punch	0.84	0.452	11	-12.507	0	0.0529	0.736	1.57e-06	0.126	0.963	114.249	163600	4
170	1962	Barbara Lynn	You'll Lose a Good Thing	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
171	1962	The Crystals	Uptown	0.659	0.717	0	-7.833	1	0.03	0.402	0.000706	0.174	0.785	112.592	141227	4
172	1962	Brenda Lee	Everybody Loves Me But You	0.665	0.101	7	-15.098	1	0.0379	0.848	1.88e-06	0.382	0.529	107.042	150333	3
173	1962	Dickey Lee	Patches	0.676	0.293	8	-9.49	1	0.0276	0.619	0.0	0.123	0.257	106.132	188360	3
174	1962	Jimmy Clanton	Venus in Blue Jeans	0.474	0.796	1	-3.238	1	0.0368	0.0909	4.28e-05	0.236	0.682	111.532	146293	4
175	1962	Paul Anka	Love Me Warm and Tender	0.633	0.611	4	-8.583	0	0.0451	0.495	0.0	0.41	0.796	110.409	139333	4
176	1962	Rick Nelson	Teen Age Idol	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
177	1962	Patsy Cline	She's Got You	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
178	1962	Larry Finnegan	Dear One	0.367	0.896	4	-10.893	1	0.0537	0.394	0.0	0.129	0.748	180.644	183562	4
179	1962	James Darren	Her Royal Majesty	0.359	0.591	5	-8.668	1	0.0561	0.637	0.0	0.281	0.91	183.318	132667	4
180	1962	Walter Brennan	Old Rivers	0.583	0.43	9	-11.705	1	0.0768	0.842	0.0	0.145	0.678	118.953	166120	4
181	1962	Burl Ives	Funny Way of Laughin'	0.49	0.169	4	-19.454	1	0.0385	0.971	1.79e-06	0.204	0.568	147.005	161226	4
182	1962	Billy Vaughn	A Swingin' Safari	0.564	0.23	2	-21.266	1	0.0782	0.766	0.984	0.16	0.655	137.974	150000	4
183	1962	Dick and Dee Dee	Tell Me	0.44	0.408	7	-9.774	1	0.0271	0.729	2.48e-06	0.0881	0.479	102.095	135907	3
184	1962	Jimmy Dean	PT-109	0.29	0.221	1	-10.316	1	0.0324	0.455	0.0173	0.0354	0.545	72.336	147507	4
185	1962	Dion	Little Diane	0.334	0.608	11	-9.827	0	0.0715	0.523	0.0	0.227	0.381	136.302	163320	4
186	1962	Billy Joe and the Checkmates	Percolator (Twist)	0.717	0.549	6	-12.272	1	0.252	0.719	0.474	0.0746	0.695	148.628	135987	4
187	1962	Gary U.S. Bonds	Twist, Twist, Señora	0.634	0.829	10	-7.678	1	0.0496	0.658	0.012	0.87	0.851	93.48	157893	4
188	1962	Jimmy Soul	Twistin' Matilda	0.492	0.816	7	-8.273	1	0.155	0.714	0.0	0.105	0.81	141.212	177293	4
189	1962	Dee Dee Sharp	Gravy (For My Mashed Potatoes)	0.722	0.85	2	-4.364	1	0.0298	0.682	0.0	0.304	0.973	130.738	124600	4
190	1962	Jimmy Smith	Walk on the Wild Side	0.483	0.43	5	-13.042	1	0.0346	0.476	0.107	0.104	0.514	111.795	356973	3
191	1962	King Curtis	Soul Twist	0.495	0.595	9	-9.901	1	0.0371	0.368	0.908	0.266	0.669	142.016	163800	4
192	1962	Bobby Rydell	I'll Never Dance Again	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
193	1962	The Ikettes	I'm Blue (The Gong-Gong Song)	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
194	1962	The Kingston Trio	Where Have All the Flowers Gone?	0.605	0.125	10	-20.93	1	0.034	0.913	4.37e-06	0.205	0.623	130.907	184293	4
