,Year,Artist,Track,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Track_Popularity,Artist_Popularity,Duration_ms,Time Signature
100,2015,Fall Out Boy,American Beauty/American Psycho,0.501,0.932,2,-2.374,1,0.197,0.0067,0.0,0.174,0.716,151.116,58,83,195947,4
101,2003,Mr. Flamboyant,Stuck in a zone,0.732,0.386,7,-13.392,1,0.397,0.0573,0.0,0.135,0.561,90.173,33,31,186560,4
102,2002,Shania Twain,Nah!,0.565,0.836,2,-4.411,1,0.0561,0.074,0.0,0.32,0.919,147.953,30,73,253907,4
103,2009,Eels,Prizefighter,0.582,0.923,9,-1.381,1,0.0446,0.65,9.18e-05,0.0706,0.811,129.91,28,60,174040,4
104,2003,Intocable,Estás Que Te Pelas,0.63,0.569,0,-8.799,1,0.0546,0.568,0.0,0.0904,0.82,128.451,28,71,234827,4
105,2003,The Beach Boys,"Help Me, Rhonda - Remastered",0.55,0.808,1,-4.844,1,0.0306,0.185,1.19e-05,0.0647,0.816,139.967,32,74,167827,4
106,2015,Kimie Miner,Love's in the Melody (feat. Caleb Keolanui),0.637,0.759,4,-4.928,0,0.0519,0.344,0.0,0.177,0.779,90.058,37,37,218000,4
107,2009,Boyz II Men,In The Still Of The Nite (I'll Remember),0.333,0.316,9,-9.035,1,0.0393,0.78,0.0,0.192,0.222,85.08,28,71,170133,4
108,2017,Sam Tinnesz,Play With Fire (feat. Yacht Money),0.573,0.539,2,-6.091,0,0.0322,0.0162,1.16e-05,0.105,0.39,75.012,63,60,180691,4
109,2005,Bloodhound Gang,Something Diabolical,0.668,0.499,4,-10.766,0,0.0585,0.503,0.24,0.108,0.346,170.019,37,63,310400,4
110,2012,Julian Smith,Never Get Naked in Your Shower,0.873,0.671,0,-6.916,1,0.365,0.644,5.83e-06,0.0447,0.963,97.002,32,33,96602,4
111,2017,Big Sean,Owe Me,0.611,0.611,8,-8.751,1,0.143,0.388,0.0,0.113,0.38,142.187,57,85,271693,4
